Diameter (ft),Rings,Bin Model,Bushels,U.S. Tons Corn,Metric Tons Corn,U.S. Tons Wheat,Metric Tons Wheat,Low Floor,High Floor,"Eave Height (ft, inches)",Eave Height (m),"Fill Height (ft, inches)",Fill Height (m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom
15,9,7-01509,"3,769",99.6,90.3,106.2,96.3,"3,600","3,542","24'2""",7.38,"28'0""",8.53,4.571999854,26.70523704,Narrow,Flat
15,10,7-01510,"4,165",110,99.8,117.4,106.5,"3,996","3,938","26'10""",8.17,"30'8""",9.36,4.571999854,27.49967976,Narrow,Flat
15,11,7-01511,"4,561",120.5,109.3,128.5,116.6,"4,391","4,333","29'6""",8.99,"33'5""",10.18,4.571999854,27.49967976,Narrow,Flat
18,4,7-01804,"2,635",69.6,63.2,74.3,67.4,"2,391","2,307","10'10""",3.29,"15'6""",4.72,5.486399824,27.5325366,Narrow,Flat
18,5,7-01805,"3,206",84.7,76.8,90.3,81.9,"2,961","2,878","13'6""",4.11,"18'2""",5.55,5.486399824,27.69652625,Narrow,Flat
18,6,7-01806,"3,776",99.7,90.5,106.4,96.5,"3,532","3,448","16'2""",4.94,"20'11""",6.37,5.486399824,27.5325366,Narrow,Flat
18,7,7-01807,"4,347",114.8,104.2,122.5,111.1,"4,102","4,019","18'10""",5.73,"23'6""",7.16,5.486399824,27.5325366,Narrow,Flat
18,8,7-01808,"4,917",129.9,117.8,138.5,125.7,"4,672","4,589","21'6""",6.55,"26'2""",7.99,5.486399824,27.69652625,Narrow,Flat
18,9,7-01809,"5,487",144.9,131.5,154.6,140.3,"5,243","5,159","24'2""",7.38,"28'11""",8.81,5.486399824,27.5325366,Narrow,Flat
18,10,7-01810,"6,058",160,145.2,170.7,154.8,"5,813","5,730","26'10""",8.17,"31'6""",9.6,5.486399824,27.5325366,Narrow,Flat
18,11,7-01811,"6,628",175.1,158.8,186.8,169.4,"6,384","6,300","29'6""",8.99,"34'2""",10.42,5.486399824,27.5325366,Narrow,Flat
18,12,7-01812,"7,198",190.1,172.5,202.8,184,"6,954","6,870","32'2""",9.81,"36'11""",11.25,5.486399824,27.69652625,Narrow,Flat
21,4,7-02104,"3,666",96.8,87.8,103.3,93.7,"3,333","3,219","10'10""",3.29,"16'5""",5,6.400799795,28.11595691,Narrow,Flat
21,5,7-02105,"4,442",117.3,106.5,125.2,113.5,"4,109","3,996","13'6""",4.11,"19'1""",5.82,6.400799795,28.11595691,Narrow,Flat
21,6,7-02106,"5,219",137.9,125.1,147,133.4,"4,886","4,772","16'2""",4.94,"21'8""",6.61,6.400799795,27.55599376,Narrow,Flat
21,7,7-02107,"5,995",158.4,143.7,168.9,153.3,"5,663","5,549","18'10""",5.73,"24'5""",7.44,6.400799795,28.11595691,Narrow,Flat
21,8,7-02108,"6,772",178.9,162.3,190.8,173.1,"6,439","6,325","21'6""",6.55,"27'1""",8.26,6.400799795,28.11595691,Narrow,Flat
21,9,7-02109,"7,549",199.4,180.9,212.7,193,"7,216","7,102","24'2""",7.38,"29'8""",9.05,6.400799795,27.55599376,Narrow,Flat
21,10,7-02110,"8,325",219.9,199.5,234.6,212.8,"7,993","7,879","26'10""",8.17,"32'5""",9.88,6.400799795,28.11595691,Narrow,Flat
21,11,7-02111,"9,102",240.4,218.1,256.5,232.7,"8,769","8,655","29'6""",8.99,"35'1""",10.7,6.400799795,28.11595691,Narrow,Flat
21,12,7-02112,"9,879",260.9,236.7,278.3,252.5,"9,546","9,432","32'2""",9.81,"37'8""",11.49,6.400799795,27.69652625,Narrow,Flat
24,4,7-02404,"4,890",129.2,117.2,137.8,125,"4,455","4,306","10'10""",3.29,"17'4""",5.27,7.315199766,28.42839377,Narrow,Flat
24,5,7-02405,"5,904",156,141.5,166.4,150.9,"5,469","5,321","13'6""",4.11,"19'11""",6.07,7.315199766,28.18554568,Narrow,Flat
24,6,7-02406,"6,919",182.8,165.8,195,176.9,"6,484","6,336","16'2""",4.94,"22'7""",6.89,7.315199766,28.06370599,Narrow,Flat
24,7,7-02407,"7,934",209.6,190.1,223.5,202.8,"7,499","7,350","18'10""",5.73,"25'4""",7.71,7.315199766,28.42839377,Narrow,Flat
24,8,7-02408,"8,948",236.4,214.4,252.1,228.7,"8,513","8,365","21'6""",6.55,"27'11""",8.5,7.315199766,28.06370599,Narrow,Flat
24,9,7-02409,"9,963",263.2,238.8,280.7,254.7,"9,528","9,380","24'2""",7.38,"30'7""",9.33,7.315199766,28.06370599,Narrow,Flat
24,10,7-02410,"10,978",290,263.1,309.3,280.6,"10,543","10,394","26'10""",8.17,"33'4""",10.15,7.315199766,28.42839377,Narrow,Flat
24,11,7-02411,"11,992",316.8,287.4,337.9,306.5,"11,558","11,409","29'6""",8.99,"35'11""",10.94,7.315199766,28.06370599,Narrow,Flat
24,12,7-02412,"13,007",343.6,311.7,366.5,332.5,"12,572","12,424","32'2""",9.81,"38'7""",11.775,7.315199766,28.24636164,Narrow,Flat
27,4,7-02704,"6,317",166.9,151.4,178,161.5,"5,767","5,579","10'10""",3.29,"18'1""",5.52,8.229599737,28.45530844,Narrow,Flat
27,5,7-02705,"7,602",200.8,182.2,214.2,194.3,"7,051","6,863","13'6""",4.11,"20'10""",6.34,8.229599737,28.45530844,Narrow,Flat
27,6,7-02706,"8,886",234.7,212.9,250.4,227.1,"8,336","8,148","16'2""",4.94,"23'6""",7.16,8.229599737,28.34756761,Narrow,Flat
27,7,7-02707,"10,171",268.7,243.7,286.6,260,"9,620","9,432","18'10""",5.73,"26'1""",7.96,8.229599737,28.45530844,Narrow,Flat
27,8,7-02708,"11,455",302.6,274.5,322.8,292.8,"10,905","10,717","21'6""",6.55,"28'10""",8.78,8.229599737,28.45530844,Narrow,Flat
27,9,7-02709,"12,740",336.5,305.3,359,325.6,"12,189","12,001","24'2""",7.38,"31'6""",9.6,8.229599737,28.34756761,Narrow,Flat
27,10,7-02710,"14,024",370.5,336.1,395.1,358.5,"13,474","13,286","26'10""",8.17,"34'1""",10.39,8.229599737,28.34756761,Narrow,Flat
27,11,7-02711,"15,309",404.4,366.9,431.3,391.3,"14,758","14,570","29'6""",8.99,"36'10""",11.22,8.229599737,28.45530844,Narrow,Flat
