Sub-Brand,Bin Series,Diameter (ft),Rings,Maximum Capactiy (Bushels) No Plenum,Eave Height (ft),Peak Height (ft),Capacity (cu. ft),Metric Tons 800 kg/m^3,Metric Tons 721 kg/m^3,Metric Tons 640 kg/m^3,Eave Height (m),Peak Height (m),Maximum Cap. (cu. m),Diameter (m),Roof Angle (degrees),Corrugation,Bottom
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,23,"232,583","61'6""","80'0""","272,956","6,554","5,907","5,244",18.75,24.38,"7,729",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,24,"241,737","64'2""","82'8""","283,699","6,812","6,140","5,450",19.56,25.19,"8,033",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,25,"250,891","66'10""","85'4""","294,442","7,070","6,372","5,656",20.37,26,"8,338",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,26,"260,045","69'6""","88'0""","305,185","7,328","6,605","5,863",21.18,26.81,"8,642",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,27,"269,199","72'2""","90'8""","315,928","7,586","6,837","6,069",22,27.63,"8,946",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,28,"278,353","74'10""","93'4""","326,671","7,844","7,070","6,276",22.81,28.44,"9,250",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,29,"287,507","77'6""","96'0""","337,414","8,102","7,302","6,482",23.62,29.25,"9,554",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,30,"296,661","80'2""","98'8""","348,157","8,360","7,535","6,688",24.43,30.07,"9,859",21.9455993,27.20308539,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,31,"305,815","82'10""","101'4""","358,900","8,618","7,767","6,895",25.25,30.88,"10,163",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,32,"314,969","85'6""","104'0""","369,643","8,876","7,999","7,101",26.06,31.69,"10,467",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,33,"324,123","88'2""","106'8""","380,386","9,134","8,232","7,307",26.87,32.5,"10,771",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,34,"333,277","90'10""","109'4""","391,128","9,392","8,464","7,514",27.69,33.32,"11,076",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,35,"342,431","93'6""","112'0""","401,871","9,650","8,697","7,720",28.5,34.13,"11,380",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,36,"351,585","96'2""","114'8""","412,614","9,908","8,929","7,927",29.31,34.94,"11,684",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,37,"360,739","98'10""","117'4""","423,357","10,165","9,162","8,133",30.12,35.75,"11,988",21.9455993,27.16176615,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,38,"369,893",101'6,"120'0""","434,100","10,422","9,395","8,339",30.93,36.57,"12,292",21.9455993,27.20308539,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,39,"379,047","104'2""","122'8""","444,843","10,679","9,628","8,545",31.74,37.38,"12,596",21.9455993,27.20308539,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,72,40,"388,201","106'10""","125'4""","455,586","10,936","9,861","8,751",32.55,38.19,"12,900",21.9455993,27.20308539,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,12,"144,094","32'2""","51'6""","169,107","4,061","3,660","3,249",9.8,15.7,"4,789",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,13,"154,027","34'10""","54'3""","180,764","4,340","3,912","3,473",10.62,16.52,"5,119",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,14,"163,960","37'6""","56'11""","192,421","4,620","4,164","3,697",11.43,17.33,"5,449",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,15,"173,892","40'2""","59'6""","204,077","4,900","4,416","3,920",12.24,18.14,"5,779",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,16,"183,825","42'10""","62'3""","215,734","5,180","4,669","4,144",13.06,18.95,"6,109",22.85999927,27.26253131,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,17,"193,758","45'6""","64'11""","227,391","5,460","4,921","4,368",13.87,19.77,"6,439",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,18,"203,690","48'2""","67'6""","239,048","5,740","5,173","4,592",14.68,20.58,"6,769",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,19,"213,623","50'10""","70'3""","250,705","6,020","5,426","4,816",15.49,21.39,"7,099",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,20,"223,556","53'6""","72'11""","262,362","6,300","5,678","5,040",16.31,22.2,"7,429",22.85999927,27.26253131,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,21,"233,488","56'2""","75'6""","274,019","6,580","5,930","5,264",17.12,23.02,"7,759",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,22,"243,421","58'10""","78'3""","285,675","6,860","6,182","5,488",17.93,23.83,"8,089",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,23,"253,354","61'6""","80'11""","297,332","7,139","6,435","5,712",18.75,24.64,"8,420",22.85999927,27.26253131,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,24,"263,287","64'2""","83'6""","308,989","7,419","6,687","5,936",19.56,25.46,"8,750",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,25,"273,219","66'10""","86'3""","320,646","7,699","6,939","6,160",20.37,26.27,"9,080",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,26,"283,152","69'6""","88'11""","332,303","7,979","7,191","6,384",21.18,27.08,"9,410",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,27,"293,085","72'2""","91'6""","343,960","8,259","7,444","6,608",22,27.89,"9,740",22.85999927,27.26253131,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,28,"303,017","74'10""","94'3""","355,616","8,539","7,696","6,832",22.81,28.71,"10,070",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,29,"312,950","77'6""","96'11""","367,273","8,819","7,948","7,056",23.62,29.52,"10,400",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,30,"322,883","80'2""","99'6""","378,930","9,099","8,200","7,280",24.43,30.33,"10,730",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,31,"332,815","82'10""","102'3""","390,587","9,379","8,453","7,503",25.25,31.15,"11,060",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,32,"342,748","85'6""","104'11""","402,244","9,658","8,705","7,727",26.06,31.96,"11,390",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,33,"352,681","88'2""","107'6""","413,901","9,938","8,957","7,951",26.87,32.77,"11,720",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,34,"362,613","90'10""","110'3""","425,558","10,218","9,210","8,175",27.69,33.58,"12,050",22.85999927,27.26253131,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,35,"372,546","93'6""","112'11""","437,214","10,498","9,462","8,399",28.5,34.4,"12,381",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,36,"382,479","96'2""","115'6""","448,871","10,778","9,714","8,623",29.31,35.21,"12,711",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,37,"392,411","98'10""","118'3""","460,528","11,058","9,966","8,847",30.12,36.02,"13,041",22.85999927,27.30212664,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,38,"402,343",101'6,"120'11""","472,185","11,338","10,218","9,071",30.93,36.84,"13,371",22.85999927,27.34169375,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,39,"412,275","104'2""","123'6""","483,842","11,618","10,470","9,295",31.74,37.65,"13,701",22.85999927,27.34169375,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,75,40,"422,207","106'10""","126'3""","495,499","11,898","10,722","9,519",32.55,38.46,"14,031",22.85999927,27.34169375,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,12,"156,918","32'2""","52'5""","184,156","4,422","3,985","3,538",9.8,15.97,"5,215",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,13,"167,661","34'10""","55'1""","196,764","4,725","4,258","3,780",10.62,16.78,"5,572",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,14,"178,404","37'6""","57'9""","209,372","5,027","4,531","4,022",11.43,17.59,"5,929",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,15,"189,147","40'2""","60'5""","221,981","5,330","4,804","4,264",12.24,18.41,"6,286",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,16,"199,891","42'10""","63'1""","234,589","5,633","5,077","4,507",13.06,19.22,"6,643",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,17,"210,634","45'6""","65'9""","247,197","5,936","5,350","4,749",13.87,20.03,"7,000",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,18,"221,377","48'2""","68'5""","259,805","6,238","5,622","4,991",14.68,20.84,"7,357",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,19,"232,120","50'10""","71'1""","272,413","6,541","5,895","5,233",15.49,21.66,"7,714",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,20,"242,863","53'6""","73'9""","285,021","6,844","6,168","5,475",16.31,22.47,"8,071",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,21,"253,607","56'2""","76'5""","297,629","7,147","6,441","5,718",17.12,23.28,"8,428",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,22,"264,350","58'10""","79'1""","310,237","7,449","6,714","5,960",17.93,24.1,"8,785",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,23,"275,093","61'6""","81'9""","322,845","7,752","6,987","6,202",18.75,24.91,"9,142",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,24,"285,836","64'2""","84'5""","335,453","8,055","7,260","6,444",19.56,25.72,"9,499",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,25,"296,579","66'10""","87'1""","348,061","8,357","7,532","6,686",20.37,26.53,"9,856",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,26,"307,322","69'6""","89'9""","360,669","8,660","7,805","6,929",21.18,27.35,"10,213",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,27,"318,066","72'2""","92'5""","373,277","8,963","8,078","7,171",22,28.16,"10,570",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,28,"328,809","74'10""","95'1""","385,885","9,266","8,351","7,413",22.81,28.97,"10,927",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,29,"339,552","77'6""","97'9""","398,493","9,568","8,624","7,655",23.62,29.78,"11,284",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,30,"350,295","80'2""","100'5""","411,101","9,871","8,897","7,898",24.43,30.6,"11,641",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,31,"361,038","82'10""","103'1""","423,709","10,174","9,170","8,140",25.25,31.41,"11,998",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,32,"371,782","85'6""","105'9""","436,317","10,477","9,442","8,382",26.06,32.22,"12,355",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,33,"382,525","88'2""","108'5""","448,925","10,779","9,715","8,624",26.87,33.04,"12,712",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,34,"393,268","90'10""","111'1""","461,533","11,082","9,988","8,866",27.69,33.85,"13,069",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,35,"404,011","93'6""","113'9""","474,141","11,385","10,261","9,109",28.5,34.66,"13,426",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,36,"414,754","96'2""","116'5""","486,749","11,688","10,534","9,351",29.31,35.47,"13,783",23.77439924,27.39339275,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,37,"425,498","98'10""","119'1""","499,358","11,990","10,807","9,593",30.12,36.29,"14,140",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,38,"436,242",101'6,"121'9""","511,967","12,292","11,080","9,835",30.93,37.1,"14,497",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,39,"446,986","104'2""","124'5""","524,576","12,594","11,353","10,077",31.74,37.91,"14,854",23.77439924,27.43137591,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,78,40,"457,730","106'10""","127'1""","537,185","12,896","11,626","10,319",32.55,38.73,"1,521,126",23.77439924,27.46933294,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,12,"214,588","32'2""","56'0""","251,837","6,047","5,450","4,838",9.8,17.05,"7,131",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,13,"228,891","34'10""","58'8""","268,623","6,450","5,813","5,160",10.62,17.87,"7,607",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,14,"243,194","37'6""","61'4""","285,409","6,853","6,177","5,483",11.43,18.68,"8,082",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,15,"257,497","40'2""","64'0""","302,195","7,256","6,540","5,805",12.24,19.49,"8,557",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,16,"271,800","42'10""","66'8""","318,981","7,659","6,903","6,128",13.06,20.3,"9,033",27.43199912,27.82736426,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,17,"286,103","45'6""","69'4""","335,766","8,062","7,266","6,450",13.87,21.12,"9,508",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,18,"300,406","48'2""","72'0""","352,552","8,465","7,630","6,773",14.68,21.93,"9,983",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,19,"314,709","50'10""","74'8""","369,338","8,868","7,993","7,095",15.49,22.74,"10,458",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,20,"329,012","53'6""","77'4""","386,124","9,271","8,356","7,418",16.31,23.56,"10,934",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,21,"343,316","56'2""","80'0""","402,910","9,674","8,719","7,740",17.12,24.37,"11,409",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,22,"357,619","58'10""","82'8""","419,696","10,078","9,083","8,063",17.93,25.18,"11,884",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,23,"371,922","61'6""","85'4""","436,482","10,481","9,446","8,385",18.75,25.99,"12,360",27.43199912,27.82736426,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,24,"386,225","64'2""","88'0""","453,267","10,884","9,809","8,708",19.56,26.81,"12,835",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,25,"400,528","66'10""","90'8""","470,053","11,287","10,173","9,030",20.37,27.62,"13,310",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,26,"414,831","69'6""","93'4""","486,839","11,690","10,536","9,353",21.18,28.43,"13,786",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,27,"429,134","72'2""","96'0""","503,625","12,093","10,899","9,675",22,29.25,"14,261",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,28,"443,437","74'10""","98'8""","520,411","12,496","11,262","9,997",22.81,30.06,"14,736",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,29,"457,740","77'6""","101'4""","537,197","12,899","11,626","10,320",23.62,30.87,"15,212",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,30,"472,043","80'2""","104'0""","553,983","13,302","11,989","10,642",24.43,31.68,"15,687",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,31,"486,346","82'10""","106'8""","570,768","13,705","12,352","10,965",25.25,32.5,"16,162",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,32,"500,649","85'6""","109'4""","587,554","14,108","12,715","11,287",26.06,33.31,"16,638",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,33,"514,952","88'2""","112'0""","604,340","14,511","13,079","11,610",26.87,34.12,"17,113",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,34,"529,255","90'10""","114'8""","621,126","14,914","13,442","11,932",27.69,34.93,"17,588",27.43199912,27.82736426,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,35,"543,558","93'6""","117'4""","637,912","15,317","13,805","12,255",28.5,35.75,"18,064",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,36,"557,861","96'2""","120'0""","654,698","15,720","14,168","12,577",29.31,36.56,"18,539",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,37,"572,165","98'10""","122'8""","671,484","16,123","14,532","12,900",30.12,37.37,"19,014",27.43199912,27.8600246,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,38,"586,469","101'6""","125'4""","688,270","16,526","14,896","13,223",30.93,38.21,"19,489",27.43199912,27.95788761,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,39,"600,773","104'2""","128'0""","705,056","16,929","15,260","13,546",31.74,39,"19,964",27.43199912,27.89266528,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,90,40,"615,077","106'10""","130'8""","721,842","17,332","15,624","13,869",32.55,39.81,"20,439",27.43199912,27.89266528,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,12,"301,731","32'2""","60'4""","354,107","8,503","7,663","6,803",9.8,18.38,"10,027",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,13,"321,199","34'10""","63'0""","376,955","9,051","8,158","7,242",10.62,19.19,"10,674",32.00399898,28.17163516,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,14,"340,667","37'6""","65'8""","399,802","9,600","8,652","7,680",11.43,20.01,"11,321",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,15,"360,135","40'2""","68'4""","422,649","10,148","9,147","8,119",12.24,20.82,"11,968",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,16,"379,603","42'10""","71'0""","445,497","10,697","9,641","8,558",13.06,21.63,"12,615",32.00399898,28.17163516,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,17,"399,071","45'6""","73'8""","468,344","11,246","10,136","8,997",13.87,22.45,"13,262",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,18,"418,540","48'2""","76'4""","491,192","11,794","10,630","9,436",14.68,23.26,"13,909",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,19,"438,008","50'10""","79'0""","514,039","12,343","11,124","9,875",15.49,24.07,"14,556",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,20,"457,476","53'6""","81'8""","536,886","12,891","11,619","10,314",16.31,24.88,"15,203",32.00399898,28.17163516,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,21,"476,944","56'2""","84'4""","559,734","13,440","12,113","10,753",17.12,25.7,"15,850",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,22,"496,412","58'10""","87'0""","582,581","13,989","12,608","11,192",17.93,26.51,"16,497",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,23,"515,880","61'6""","89'8""","605,429","14,537","13,102","11,631",18.75,27.32,"17,144",32.00399898,28.17163516,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,24,"535,348","64'2""","92'4""","628,276","15,086","13,597","12,070",19.56,28.13,"17,791",32.00399898,28.17163516,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,25,"554,816","66'10""","95'0""","651,124","15,634","14,091","12,509",20.37,28.95,"18,438",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,26,"574,284","69'6""","97'8""","673,971","16,183","14,586","12,947",21.18,29.76,"19,085",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,27,"593,752","72'2""","100'4""","696,818","16,732","15,080","13,386",22,30.57,"19,732",32.00399898,28.17163516,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,28,"613,220","74'10""","103'0""","719,666","17,280","15,574","13,825",22.81,31.39,"20,379",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,29,"632,688","77'6""","105'8""","742,513","17,829","16,069","14,264",23.62,32.2,"21,026",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,30,"652,156","80'2""","108'4""","765,361","18,377","16,563","14,703",24.43,33.01,"21,673",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,31,"671,624","82'10""","111'0""","788,208","18,926","17,058","15,142",25.25,33.82,"22,320",32.00399898,28.17163516,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,32,"691,092","85'6""","113'8""","811,056","19,475","17,552","15,581",26.06,34.64,"22,967",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,33,"710,560","88'2""","116'4""","833,903","20,023","18,047","16,020",26.87,35.45,"23,614",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,34,"730,028","90'10""","119'0""","856,750","20,572","18,541","16,459",27.69,36.26,"24,260",32.00399898,28.17163516,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,35,"749,497","93'6""","121'8""","879,598","21,121","19,036","16,898",28.5,37.08,"24,907",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,36,"768,965","96'2""","124'4""","902,445","21,669","19,530","17,337",29.31,37.89,"25,554",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,37,"788,433","98'10""","127'0""","925,293","22,218","20,024","17,776",30.12,38.7,"26,201",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,38,"807,901",101'6,"129'8""","948,141","22,767","20,518","18,215",30.93,39.51,"26,848",32.00399898,28.19945258,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,39,"827,369","104'2""","132'4""","970,989","23,316","21,012","18,654",31.74,40.33,"27,495",32.00399898,28.22725552,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,105,40,"846,837","106'10""","135'0""","993,837","23,865","21,506","19,093",32.55,41.14,"28,142",32.00399898,28.22725552,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,135,19,"755,968","50'10""","86'9""","887,192","21,303","19,200","17,044",15.49,26.43,"25,122",41.14799868,28.00132543,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,135,20,"788,150","53'6""","89'5""","924,961","22,210","20,017","17,769",16.31,27.25,"26,192",41.14799868,28.00132543,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,135,21,"820,332","56'2""","92'1""","962,729","23,117","20,835","18,495",17.12,28.06,"27,261",41.14799868,28.00132543,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,135,22,"852,513","58'10""","94'9""","1,000,497","24,023","21,652","19,220",17.93,28.87,"28,331",41.14799868,28.00132543,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,135,23,"884,695","61'6""","97'5""","1,038,265","24,930","22,469","19,946",18.75,29.68,"29,400",41.14799868,27.97961089,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,135,24,"916,877","64'2""","100'1""","1,076,033","25,837","23,287","20,671",19.56,30.5,"30,470",41.14799868,28.00132543,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,135,25,"949,059","64'10""","102'9""","1,113,801","26,744","24,104","21,397",20.37,31.31,"31,539",41.14799868,28.00132543,Narrow,Flat
GSI 40 SERIES BINS,4022 AND 4032 SERIES,135,26,"981,241","69'6""","105'5""","1,151,570","27,651","24,921","22,122",21.18,32.12,"32,609",41.14799868,28.00132543,Narrow,Flat
